weight,word
157,0000-0001-6534-6609
12,0000-0001-7044-2419
51,0000-0003-3002-6458
63,0000-0002-9747-3423
15,0000-0001-6660-2715
1,0000-0002-6270-3874
11,0000-0003-2992-1607
58,0000-0003-0443-9902
9,0000-0002-4187-2863
1,0000-0002-7493-459X
14,0009-0008-7609-4484
12,0009-0001-3436-5302
10,0000-0003-1763-2525
10,0000-0002-6258-2080
8,0000-0001-6585-0696
4,0000-0001-5730-3326
8,0009-0006-9871-5187
12,0000-0002-8323-5416
4,0000-0001-6406-4394
5,0000-0002-6077-7490
3,0000-0002-4977-2541
2,0009-0002-2037-5945
1,0009-0001-9399-9671
5,0000-0003-4129-2890
1,0000-0003-3588-892X
2,0009-0000-2169-0598
4,0009-0008-3623-3734
5,0000-0002-9152-2562
3,0000-0001-7411-5925
8,0000-0003-4819-2251
1,0009-0005-0157-5724
1,0000-0002-4058-6718
1,0009-0003-1714-1678
