mite_acc,reaction,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept
MITE0000132,CC(=O)O[C@@H](C(=O)/C=C(\C)CCC=C(C)C)[C@@H](C)[C@@]1(C)CCC2=C1[C@@H](O)C[C@H]1C(C)(C)[C@@H](O)CC[C@]21C>>CC(=O)O[C@H]1CC[C@]2(C)C3=C([C@@H](O)C[C@H]2C1(C)C)[C@@](C)([C@H](C)[C@@H](OC(C)=O)C(=O)C=C(C)CCC=C(C)C)CC3,THAA2,Acetyltransferase,Acetylation,D7MUV7,EFH40094.1
MITE0000122,N[C@@H](CCCNO)C(=O)O>>CC(=O)N(O)CCC[C@H](N)C(=O)O,AbmA,Acetyltransferase,Acetylation,I1ZAY8,AFJ20767.1
MITE0000145,N=C(N)NCCC[C@@H]1NC(=O)[C@H](Cc2onc3ccccc23)NC1=O>>CC(=O)/N=C(\N)NCCC[C@@H]1NC(=O)[C@H](Cc2onc3ccccc23)NC1=O,AvaD,GNAT family N-acetyltransferase,Acetylation,P9WEK5,UZP48216.1
MITE0000177,C=C[C@]1(C)C[C@@H](O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O>>C=C[C@]1(C)C[C@@H](OC(C)=O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Ple2,Acetyltransferase,Acetylation,A0A6S6QLX9,BCI98770.1
MITE0000136,CC(C)=CCC/C(C)=C/C(=O)[C@H](O)[C@@H](C)[C@@]1(C)CCC2=C1[C@@H](O)C[C@H]1C(C)(C)[C@@H](O)CC[C@]21C>>CC(=O)O[C@@H](C(=O)C=C(C)CCC=C(C)C)[C@@H](C)[C@@]1(C)CCC2=C1[C@@H](O)C[C@H]1C(C)(C)[C@@H](O)CC[C@]21C,THAA1,Acyltransferase subfamily IIIa Arabidopsis lyrata ssp lyrata,Acetylation,UPI000A29E8C9,
MITE0000123,C[C@H](O)CC(=O)c1c(C[C@@H](C)O)cc2cccc(O)c2c1O>>CC(=O)O[C@H](C)Cc1cc2cccc(O)c2c(O)c1C(=O)C[C@H](C)O,JuiM,Acetyltransferase,Acetylation,A0A7G8Z071,QNL10606.1
MITE0000131,O=C(O)c1cc2c([nH]c3cc(Cl)ccc32)s1>>NOC(=O)c1cc2c([nH]c3cc(Cl)ccc32)s1,ThnA,amidotransferase,Amination,A0A142I749,AMR44301.1
MITE0000189,C[C@@H]1C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O[C@@H](C2CCC[C@@H]2C(=O)O)CC=CC=C(C=O)[C@H](O)[C@@H](C)C1>>C[C@@H]1C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O[C@@H](C2CCC[C@@H]2C(=O)O)CC=CC=C(CN)[C@H](O)[C@@H](C)C1,BorJ,Aminotransferase,Amination,Q70HZ5,CAE45674.1
MITE0000100,O=C[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O>>NC[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,PumG,Aminotransferase,Amination,A0A2R4FXY6,AVT42376.1
MITE0000172,CC[C@@H](C)[C@@H](NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)O>>CCC(C)[C@@H]1NC(=O)[C@@H]2Cc3ccc(O)c(c3)-n3cc(c4cc(ccc43)[C@@]34C[C@H]5C(=O)N[C@H](C(=O)O)Cc6ccc(cc6)Oc6cccc3c6N[C@@H]4N5C1=O)C[C@H](N)C(=O)N2,LauB1,Cytochrome P450,Biaryl bond formation,A0A160P4S3,BAU86124.1
MITE0000149,CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O>>CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H]1Cc2ccc(O)c(c2)-c2ccc3[nH]cc(c3c2)C[C@@H](C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)O)NC(=O)[C@@H]2CCCN2C1=O,MciB,P450 installing crosslink,Biaryl bond formation,A0A1C6TS88,SCL44650.1
MITE0000152,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>>CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(N)=O)Cc2c[nH]c3c(cccc23)-n2cc(c3ccccc32)C[C@@H](C(=O)O)NC1=O,ScnB,Cytochrome P450,Biaryl bond formation,A0A0F7N5T9,AKH82808.1
MITE0000175,CSCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1cnc[nH]1)C(=O)O>>CSCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC1Cc2ccc(O)c(c2)-c2ncc([nH]2)CC(C(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC1=O,BytO,cytochrome P450,Biaryl bond formation,A0A891LWT6,QRM13814.1
MITE0000173,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>>CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)Cc2c[nH]c3c(cccc23)-n2cc(c3ccccc32)C[C@@H](C(=O)O)NC1=O,embB,Cytochrome P450 installing crosslink,Biaryl bond formation,,MYS84939.1
MITE0000150,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12>>O=c1c(-c2ccc(O)c(-c3c(O)ccc4c(=O)c(-c5ccc(O)cc5)coc34)c2)coc2cc(O)ccc12,CYP158C1,Cytochrome P450,Biaryl bond formation,F8K0I8,AEW97391.1
MITE0000125,CC(=O)O[C@H](C)Cc1cc2cccc(O)c2c(O)c1C(=O)C[C@H](C)O.CC(=O)O[C@H](C)Cc1cc2cccc(O)c2c(O)c1C(=O)C[C@H](C)O>>CC(=O)O[C@H](C)Cc1cc2ccc(-c3ccc4cc(C[C@@H](C)OC(C)=O)c(C(=O)C[C@H](C)O)c(O)c4c3O)c(O)c2c(O)c1C(=O)C[C@H](C)O,JuiL,Cytochrome P450,Biaryl bond formation,A0A7G8Z073,QNL10608.1
MITE0000153,CSCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O>>CSCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1Cc2c[nH]c(n2)-c2nc(c[nH]2)C[C@@H](C(=O)O)NC(=O)[C@H](C)NC1=O,SgrB,Cytochrome P450,Biaryl bond formation,UPI00068C79B2,
MITE0000174,CSCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)O>>CSCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC1Cc2ccc(O)c(c2)-c2ncc([nH]2)CC(C(=O)O)NC(=O)C(Cc2ccccc2)NC1=O,BytO,cytochrome P450,Biaryl bond formation,A0A891LYB2,QRM13816.1
MITE0000194,CC(=O)OC[C@]12Oc3cccc(O)c3C(=O)C1=C(O)C[C@@H](C)[C@H]2OC(C)=O>>CC(=O)OC[C@]12Oc3c(-c4ccc(O)c5c4O[C@@]4(COC(C)=O)C(=C(O)C[C@@H](C)[C@H]4OC(C)=O)C5=O)ccc(O)c3C(=O)C1=C(O)C[C@@H](C)[C@H]2OC(C)=O,PhoO,Cytochrome P450,Biaryl bond formation,UPI0020472753,UPG58744.1
MITE0000027,CC(C)C[C@@H](N)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H](c3ccc(O)cc3)C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c3cc(O)cc(O)c3)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O)Oc2ccc(cc2Cl)[C@H]1O>>CC(C)C[C@@H](N)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O)Oc2ccc(cc2Cl)[C@H]1O,OxyC,Cytochrome P450 monooxygenase,Cyclization,F8STX8,AEI58870.1
MITE0000053,CSCC[C@H](NC(=O)[C@@H]1CSC([C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)CN)C(C)C)C(C)C)C(C)C)=N1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O)[C@@H](C)O>>CSCC[C@H](NC(=O)[C@@H]1CSC([C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](/N=C2\NCC(=O)N3CCC[C@H]3C(=O)N[C@@H](C(C)C)C(=O)N[C@H]2C(C)C)C(C)C)=N1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O)[C@@H](C)O,BotCD,Macroamidine linkage-catalyzing YacO protein from Streptomyces sp. BC16019,Cyclization,K4MHF8,AFV25483.1
MITE0000090,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C\CCC1(C)C2CC3C(C2)C31C,TPS21,Terpene cyclase,Cyclization,R9R6P6,AGK82800.1
MITE0000134,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC1OC1(C)C>>CC(C)=CCCC(C)=CCCC(C)C1(C)CCC2=C1CCC1C2(C)CCC(O)C1(C)C,THAS,Oxidosqualene cyclase,Cyclization,UPI000A29AD50,CAH8278777.1
MITE0000106,CC(C)=CCCC(C)=CCC/C(C)=C/CCC(C)=CCc1cc(C(=O)O)cc(O)c1O>>CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)c5c(C(=O)O)cc(O)c(O)c5C[C@@H]4[C@@]3(C)CC[C@H]12,MstE,terpene cyclase,Cyclization,A0A2D1CM82,ATN39899.1
MITE0000170,Cc1cc(O)c(C)c(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1C>>Cc1cc(O)c(C)c2c1C(=O)Oc1c(C)c(O)c(C(=O)O)c(C)c1O2,ProsK,Cytochrome P450,Cyclization,,WPM83319.1
MITE0000113,CC[C@H]1OC(=O)CC/C=C/C=C/C[C@H](O)[C@H](C)[C@@H](O)/C=C/C(C)=C/[C@H]1C>>CC[C@H]1OC(=O)CCC2C=CC3C[C@H](O)[C@H](C)[C@H](O)C3C2/C(C)=C/[C@H]1C,NgnD,Nuclear transport factor 2 family protein,Cyclization,A0A3S7PZF0,AXG22404.1
MITE0000095,COC1=CC(C)=C2C(Nc3ccc(O)c4c3C(=O)c3ccccc3C4=O)C#CC=CC#CC1C2C=O>>COC1=CC(C)=C2C3C#CC=CC#CC1C2(C=O)C1CC(=O)c2c(c(O)c4ccccc4c2O)C1=N3,TnmK1,Hydrolase.,Cyclization,A0A125SA14,AME18010.1
MITE0000129,NC(Cc1c[nH]c2cc(Cl)ccc12)C(=O)O>>O=C(O)C(=O)Cc1c[nH]c2cc(Cl)ccc12,ThnJ,Aminotransferase,Deamination,A0A142I758,AMR44310.1
MITE0000163,CC1(O)Cc2cc3cc(O)cc(O)c3c(O)c2C(=O)C1C(=O)[O-]>>CC1(O)CC(=O)c2c(cc3cc(O)cc(O)c3c2O)C1,PhoH,Decarboxylase,Decarboxylation,UPI0020648AC1,UPG58737.1
MITE0000191,Cc1cccc(O)c1C(=O)O>>Cc1cccc(O)c1,PatG,Decarboxylase,Decarboxylation,A0A075TXZ1,AIG62133.1
MITE0000171,Cc1cc(O)c(C)c2c1C(=O)Oc1c(C)c(O)c(C(=O)O)c(C)c1O2>>Cc1cc(O)c(C)c2c1Oc1c(C)c(O)cc(C)c1C(=O)O2,ProsB,Decarboxylase,Decarboxylation,,WPM83321.1
MITE0000116,O=C1OC(CO)C=C1/C=C/c1ccc(O)cc1>>C=C1C=C(/C=C/c2ccc(O)cc2)C(=O)O1,StoC,NADH:flavin oxidoreductase,Dehydration,,TMU80020.1
MITE0000159,Cc1cc(O)c2c(O)c3c(c(O)c2c1)C[C@H](O)CC3=O>>Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,PhoD,Dehydratase,Dehydration,UPI002070062C,UPG58733.1
MITE0000193,CC(C)CC1NC(=O)C(Cc2ccccc2)NC1=O>>CC(C)C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O,AlbA,Albonoursin synthase/cyclic dipeptide oxidase,Dehydrogenation,Q8GED9,AAN07907.1
