key,mite_acc,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept,id_mibig,ncbi_nr_matches
zzzzzz0,MITE0000175,BytO,cytochrome P450,Biaryl bond formation,A0A891LWT6,QRM13814.1,BGC0002084,4
zzzzzz1,MITE0000048,BotP,Peptidase,Hydrolysis,K4MHW2,AFV25490.1,BGC0000469,79
zzzzzz2,MITE0000183,EryK,Cytochrome P450,Hydroxylation,P48635,CAM00054.1,BGC0000055,39
zzzzzz3,MITE0000207,LrcB1,Peptidase Subunit,Hydrolysis,,XMN14539.1,,23
zzzzzz4,MITE0000134,THAS,Oxidosqualene cyclase,Cyclization,UPI000A29AD50,CAH8278777.1,BGC0002857,2410
zzzzzz5,MITE0000039,Vmt,Methyltransferase,Methylation,E9LY85,AEI58876.1,BGC0000455,55
zzzzzz6,MITE0000189,BorJ,Aminotransferase,Amination,Q70HZ5,CAE45674.1,BGC0000031,52
zzzzzz7,MITE0000180,SLI_0884,Leucyl/Phenylalanil-tRNA-Protein transferase,Other,A0A7U9H9E4,EOY45603.1,BGC0001168,121
zzzzzz8,MITE0000203,braC,Cytochrome P450,Hydroxylation|Oxidation,P9WER2,QOE88885.1,BGC0002260,144
zzzzzz9,MITE0000162,PhoG,Anthrone oxygenase,Oxidation,UPI00206D4B6A,UPG58736.1,BGC0003093,25
zzzzz10,MITE0000104,TrlC,Oxygenase component of flavoprotein monooxygenase TrlCD,Hydroxylation,A0A2S1JZG6,AWF83807.1,BGC0001487,2672
zzzzz11,MITE0000125,JuiI,Cytochrome P450,Biaryl bond formation,A0A7G8Z073,QNL10608.1,BGC0002514,30
zzzzz12,MITE0000132,THAA2,Acetyltransferase,Acetylation,D7MUV7,EFH40094.1,BGC0002857,98
zzzzz13,MITE0000018,MtmGIV,glycosyltransferase,Glycosylation,Q194Q0,CAK50788.1,BGC0000247,26
zzzzz14,MITE0000177,Ple2,Acetyltransferase,Acetylation,A0A6S6QLX9,BCI98770.1,BGC0002181,1
zzzzz15,MITE0000184,RufO,Cytochrome p450 monooxygenase,Other,A0A224AU14,BBA20962.1,BGC0001763,40
zzzzz16,MITE0000074,ClmM1,S-methyltransferase,Methylation,H1ZYV7,CCC55912.1,BGC0000973,1678
zzzzz17,MITE0000073,ClmAH,Amidohydrolase,Hydrolysis,H1ZYT5,CCC55916.1,BGC0000973,107
zzzzz18,MITE0000187,HrmI,heme oxygenase-like dinuclear iron enzyme,Oxidation,F8S6W0,AEH41787.1,BGC0000374,83
zzzzz19,MITE0000093,PhmJ,FAD-dependent halogenase,Halogenation,A0A125SL25,AMH40426.1,BGC0001350,30
zzzzz20,MITE0000038,OxyA,Cytochrome P450 Monooxygenase,Cyclization|Oxidation,F8STX6,AEI58868.1,BGC0000455,130
zzzzz21,MITE0000197,HynC,non-heme diiron monooxygenase,Hydroxylation,,QWP75303.1,BGC0002126,81
zzzzz22,MITE0000188,BorI,Cytochrome P450 monooxygenase,Dehydration|Hydroxylation|Oxidation,Q70HZ6,CAE45673.1,BGC0000031,15
zzzzz23,MITE0000186,HrmF,L-DOPA dioxygenase,Other,F8S6V7,AEH41784.1,BGC0000374,58
zzzzz24,MITE0000013,GrhO6,Flavoprotein monooxygenase,Monooxygenation,Q8KSX5,AAM33673.1,BGC0000230,163
zzzzz25,MITE0000090,TPS21,Terpene cyclase,Cyclization,R9R6P6,AGK82800.1,BGC0001322,146
zzzzz26,MITE0000196,HynE,alpha-ketoglutarate-dependent dioxygenase,Hydroxylation,,QWP75301.1,BGC0002126,119
zzzzz27,MITE0000002,AviG4,O-methyltransferase,Methylation,L8PIQ8,ELS56114.1,BGC0000026,41
zzzzz28,MITE0000121,AbmB,L-Ornithine N(5)-oxygenase,Hydroxylation,I1ZAY9,AFJ20768.1,BGC0002300,1402
zzzzz29,MITE0000069,RebH,tryptophane halogenase,Halogenation,Q8KHZ8,AAN01216.1,BGC0000821,1480
zzzzz30,MITE0000008,CalO2,Cytochrome P450me,Hydroxylation,Q8KND6,AAM94799.1,BGC0000033,32
zzzzz31,MITE0000019,MtmGIII,glycosyltransferase,Glycosylation,Q194P9,CAK50789.1,BGC0000247,28
zzzzz32,MITE0000014,MtmMI,O-methyltransferase,Methylation,Q194P7,CAK50791.1,BGC0000247,28
zzzzz33,MITE0000130,ThnH,tryptophan 6-halogenase,Halogenation,A0A142I756,AMR44308.1,,1497
zzzzz34,MITE0000057,PntE,Baeyer-Villiger monooxygenase,Oxidation,E3VWI7,ADO85575.1,BGC0000653,532
zzzzz35,MITE0000047,BotRMT3,radical SAM methyltransferase,Methylation,K4MHG1,AFV25488.1,BGC0000469,206
zzzzz36,MITE0000050,BotAH,Aminohydrolase,Hydrolysis,K4MV58,AFV25486.1,BGC0000469,53
zzzzz37,MITE0000066,RebP,Cytochrome P-450,Oxidation,Q8KIC8,AAN01211.1,BGC0000821,8
zzzzz38,MITE0000192,CtoA,Halogenase,Halogenation,A0A0M4KXQ6,ALD83700.1,BGC0001299,28
zzzzz39,MITE0000170,ProsK,Cytochrome P450,Cyclization,,WPM83319.1,BGC0003094,17
zzzzz40,MITE0000022,SsfM4,C-methyltransferase,Methylation,D6MSU6,ADE34484.1,BGC0000269,214
zzzzz41,MITE0000005,CalO3,Flavin-dependent halogenase,Halogenation,Q8KND5,AAM70353.1,BGC0000033,39
zzzzz42,MITE0000049,BotRMT1,rSAM methyltransferase,Methylation,K4MHV5,AFV25480.1,BGC0000469,206
zzzzz43,MITE0000042,GtfD,Glycosyltransferase,Glycosylation,P96564,AEI58872.1,BGC0000455,166
zzzzz44,MITE0000127,AetA,Flavin-dependent halogenase,Halogenation,A0A861B8S3,QNL15171.1,BGC0002643,5
zzzzz45,MITE0000193,AlbA,Albonoursin synthase/cyclic dipeptide oxidase,Dehydrogenation,Q8GED9,AAN07907.1,BGC0000851,130
zzzzz46,MITE0000043,SgvP,cytochrome P450,Heterocyclization,R9USI6,AGN74891.1,BGC0000459,15
zzzzz47,MITE0000071,Bmp2,Flavin-dependent halogenase,Halogenation,U6BGC3,AHA34035.1,BGC0000891,36
zzzzz48,MITE0000126,AetF,Flavin-dependent halogenase,Halogenation,A0A861B9Z9,QNL15176.1,BGC0002643,28
zzzzz49,MITE0000209,LrcC,Lassopeptide lactam synthetase,Macrolactam formation,,XMN14537.1,,184
zzzzz50,MITE0000174,BytO,cytochrome P450,Biaryl bond formation,A0A891LYB2,QRM13816.1,BGC0002099,4
zzzzz51,MITE0000021,SsfM2,O-methyltransferase,Methylation,D6MSW0,ADE34498.1,BGC0000269,18
zzzzz52,MITE0000041,OxyB,Cytochrome P450 Monooxygenase,Cyclization|Oxidation,F8STX7,AEI58869.1,BGC0000455,223
zzzzz53,MITE0000165,PhoN,Isomerase,Other,,UPG58743.1,BGC0003093,68
zzzzz54,MITE0000067,RebD,Dichlorochromopyrrolate synthase,Oxidation,Q8KHV6,AAN01209.1,BGC0000821,42
zzzzz55,MITE0000027,OxyC,Cytochrome P450 monooxygenase,Cyclization,F8STX8,AEI58870.1,BGC0000311,139
